url,fetched_at,status,property_name,location,station_walk,built_ym,exclusive_area_sqm,layout,price_jpy
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_78229644/,2025-09-18T23:24:45.527817,200,コスモグラシア人形町,東京都中央区日本橋富沢町,徒歩3分,2009年1月,40.71㎡,1LDK,9299万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_77385700/,2025-09-18T23:24:46.716247,200,勝どきザ・タワー,東京都中央区勝どき５,徒歩6分,2016年11月,47.79㎡,1LDK,9450万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_78008181/,2025-09-18T23:24:47.890277,200,グリーンパーク東日本橋リバーテラス,東京都中央区東日本橋２,徒歩3分,2008年3月,53.36㎡,1LDK,9480万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_78284910/,2025-09-18T23:24:49.316020,200,グリーンパーク新富町,東京都中央区新富２,徒歩2分,2011年11月,46.35㎡,2LDK,9480万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_78319684/,2025-09-18T23:24:50.351587,200,ピアース銀座8丁目,東京都中央区銀座８,徒歩9分,2019年1月,33.65㎡,1DK,9580万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_76698603/,2025-09-18T23:24:51.790090,200,グランシティ日本橋人形町,東京都中央区日本橋人形町３,徒歩4分,2002年6月,55.06㎡,2LDK,9980万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_78349442/,2025-09-18T23:24:53.177417,200,リビオ日本橋浜町パークフィール,東京都中央区日本橋浜町２,徒歩3分,2010年8月,50.01㎡,2LDK,9980万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_78215787/,2025-09-18T23:24:54.223148,200,シティハウス月島駅前キャピタルコート,東京都中央区佃３,徒歩2分,2011年4月,53.72㎡,2LDK,290万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_78286433/,2025-09-18T23:24:55.394497,200,ベルファース水天宮前,東京都中央区日本橋中洲,徒歩5分,2008年10月,51.63㎡,2LDK,480万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_77293286/,2025-09-18T23:24:56.623195,200,アスコットパーク日本橋浜町,東京都中央区日本橋浜町１,徒歩3分,2004年7月,57.38㎡,2LDK,480万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_78392707/,2025-09-18T23:24:57.973799,200,ベルファース水天宮,東京都中央区日本橋中洲,徒歩6分,2008年10月,51.63㎡,2LDK,480万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_77639834/,2025-09-18T23:24:59.339953,200,レゾン　アレグレ,東京都中央区湊３,徒歩4分,2005年6月,54.11㎡,2LDK,900万円
